date,total_clones,unique_clones
2022-08-17,2,2
2022-08-18,0,0
2022-08-19,1,1
2022-08-20,0,0
2022-08-21,0,0
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,0,0
2022-08-25,10,5
2022-08-26,2,2
2022-08-27,7,4
2022-08-28,5,4
2022-08-29,6,4
2022-08-30,3,3
2022-08-31,2,2
2022-09-01,3,2
2022-09-02,2,2
2022-09-03,2,2
2022-09-04,2,2
2022-09-05,2,2
2022-09-06,2,2
2022-09-07,1,1
2022-09-08,1,1
2022-09-09,1,1
2022-09-10,2,2
2022-09-11,2,2
2022-09-12,1,1
2022-09-13,1,1
2022-09-14,2,2
2022-09-15,1,1
2022-09-16,1,1
2022-09-17,2,2
2022-09-18,2,2
2022-09-19,1,1
2022-09-20,1,1
2022-09-21,1,1
2022-09-22,1,1
2022-09-23,1,1
2022-09-24,2,2
2022-09-25,2,2
2022-09-26,2,2
2022-09-27,2,2
2022-09-28,2,2
2022-09-29,3,3
2022-09-30,2,2
2022-10-01,3,3
2022-10-02,4,4
2022-10-03,3,3
2022-10-04,3,3
2022-10-05,2,2
2022-10-06,2,2
2022-10-07,0,0
