date,total_views,unique_views
2022-08-17,9,2
2022-08-18,2,2
2022-08-19,4,1
2022-08-20,1,1
2022-08-21,1,1
2022-08-22,0,0
2022-08-23,4,1
2022-08-24,0,0
2022-08-25,18,1
2022-08-26,0,0
2022-08-27,3,1
2022-08-28,0,0
2022-08-29,0,0
2022-08-30,3,1
2022-08-31,0,0
2022-09-01,1,1
2022-09-02,0,0
2022-09-03,0,0
2022-09-04,0,0
2022-09-05,3,2
2022-09-06,1,1
2022-09-07,3,1
2022-09-08,0,0
2022-09-09,0,0
2022-09-10,1,1
2022-09-11,3,1
2022-09-12,0,0
2022-09-13,1,1
2022-09-14,0,0
2022-09-15,6,1
2022-09-16,0,0
2022-09-17,0,0
2022-09-18,0,0
2022-09-19,2,1
2022-09-20,0,0
2022-09-21,0,0
2022-09-22,2,2
2022-09-23,0,0
2022-09-24,0,0
2022-09-25,0,0
2022-09-26,0,0
2022-09-27,0,0
2022-09-28,1,1
2022-09-29,3,1
2022-09-30,4,2
2022-10-01,4,2
2022-10-02,1,1
2022-10-03,0,0
2022-10-04,4,1
2022-10-05,1,1
2022-10-06,0,0
2022-10-07,0,0
2022-10-08,0,0
2022-10-09,0,0
2022-10-10,10,1
2022-10-11,0,0
2022-10-12,5,1
2022-10-13,2,1
2022-10-14,5,2
2022-10-15,11,2
2022-10-16,0,0
2022-10-17,12,1
2022-10-18,5,2
2022-10-19,5,1
2022-10-20,0,0
2022-10-21,0,0
2022-10-22,2,1
2022-10-23,6,1
2022-10-24,0,0
2022-10-25,9,1
2022-10-26,0,0
2022-10-27,2,1
